Image,Model,Conf,GT_Count,Pred_Count,TP,FP,FN,Precision,Recall,F1
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv9c,0.5,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv11,0.5,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv12n,0.5,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv8-FPN,0.5,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv8n,0.7,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv9c,0.7,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv11,0.7,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv12n,0.7,1,1,1,0,0,1.0,1.0,1.0
0606_jpg.rf.3c4b519ebec4abb88fea12cbb4fbf5f0.jpg,YOLOv8-FPN,0.7,1,1,1,0,0,1.0,1.0,1.0
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv8n,0.25,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv9c,0.25,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv11,0.25,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv12n,0.25,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv8-FPN,0.25,6,5,4,1,2,0.8,0.6666666666666666,0.7272727272727272
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv8n,0.5,6,4,4,0,2,1.0,0.6666666666666666,0.8
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv9c,0.5,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv11,0.5,6,4,4,0,2,1.0,0.6666666666666666,0.8
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv12n,0.5,6,3,3,0,3,1.0,0.5,0.6666666666666666
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv8-FPN,0.5,6,3,3,0,3,1.0,0.5,0.6666666666666666
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv8n,0.7,6,2,2,0,4,1.0,0.3333333333333333,0.5
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv9c,0.7,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv11,0.7,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv12n,0.7,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857
104_jpg.rf.018a67abdad4f1686e65c7a020ce9822.jpg,YOLOv8-FPN,0.7,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv8n,0.25,2,2,2,0,0,1.0,1.0,1.0
