epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3257.12,1.65482,1.59199,1.8092,0.71742,0.60798,0.6752,0.36,1.70811,1.41477,1.84755,0.00370597,0.00370597,0.00370597
43,3334.42,1.64407,1.57937,1.79384,0.72552,0.60327,0.67248,0.36353,1.71108,1.37324,1.85846,0.00364863,0.00364863,0.00364863
44,3411.57,1.64368,1.56136,1.78885,0.70061,0.6051,0.6676,0.36385,1.6923,1.36116,1.8363,0.00359051,0.00359051,0.00359051
45,3489.68,1.64521,1.59523,1.79727,0.72086,0.61527,0.67963,0.36372,1.69575,1.38445,1.8314,0.00353167,0.00353167,0.00353167
46,3568.77,1.62361,1.53486,1.77442,0.73479,0.61354,0.68018,0.3676,1.68566,1.35614,1.83162,0.00347214,0.00347214,0.00347214
47,3649.05,1.63581,1.55508,1.78446,0.71773,0.60374,0.67322,0.36596,1.69286,1.3535,1.83247,0.00341196,0.00341196,0.00341196
48,3730.08,1.62601,1.55263,1.77387,0.72941,0.61047,0.68083,0.36933,1.67547,1.3733,1.81499,0.00335117,0.00335117,0.00335117
49,3810.43,1.63721,1.5595,1.79008,0.74141,0.62236,0.69317,0.37606,1.66417,1.34268,1.82059,0.00328982,0.00328982,0.00328982
50,3891.13,1.61901,1.52179,1.7735,0.73558,0.62275,0.69097,0.37582,1.66507,1.32879,1.80787,0.00322794,0.00322794,0.00322794
51,3971.21,1.59825,1.51725,1.76214,0.72262,0.62358,0.69149,0.37694,1.6664,1.34001,1.81362,0.00316558,0.00316558,0.00316558
52,4051.42,1.61671,1.52294,1.7704,0.74992,0.60817,0.69045,0.3818,1.65648,1.32792,1.81223,0.00310278,0.00310278,0.00310278
53,4132.81,1.60106,1.50552,1.75449,0.73845,0.62025,0.69101,0.37776,1.66438,1.32627,1.81343,0.00303958,0.00303958,0.00303958
54,4213.04,1.61245,1.5103,1.75837,0.74807,0.62697,0.69467,0.38553,1.64328,1.2921,1.79719,0.00297603,0.00297603,0.00297603
55,4293.89,1.58865,1.48873,1.74747,0.75188,0.62535,0.7029,0.392,1.63228,1.29536,1.78741,0.00291218,0.00291218,0.00291218
56,4375.35,1.5858,1.48143,1.74918,0.74578,0.63634,0.70423,0.39265,1.63563,1.28483,1.78826,0.00284805,0.00284805,0.00284805
57,4454.56,1.58732,1.48787,1.75233,0.75222,0.62716,0.70457,0.39143,1.63341,1.2886,1.79076,0.00278371,0.00278371,0.00278371
58,4531.58,1.5898,1.48307,1.74041,0.75917,0.63617,0.71117,0.39616,1.62677,1.25939,1.77841,0.00271919,0.00271919,0.00271919
59,4610.14,1.5693,1.46643,1.73568,0.75695,0.63828,0.71247,0.39544,1.62104,1.26244,1.77679,0.00265453,0.00265453,0.00265453
60,4689.32,1.57718,1.47341,1.73369,0.75634,0.64357,0.71281,0.39983,1.62277,1.25611,1.76904,0.00258979,0.00258979,0.00258979
61,4767.97,1.57335,1.4644,1.73765,0.76004,0.63786,0.71296,0.40222,1.61311,1.262,1.76242,0.002525,0.002525,0.002525
62,4846.17,1.57715,1.47986,1.74034,0.76047,0.63119,0.71202,0.40318,1.61378,1.24983,1.76613,0.00246021,0.00246021,0.00246021
63,4924.76,1.55985,1.44032,1.72276,0.77232,0.63924,0.72181,0.40428,1.61721,1.23556,1.76781,0.00239547,0.00239547,0.00239547
64,5003,1.55474,1.43627,1.72409,0.76725,0.64404,0.72109,0.40777,1.6081,1.23729,1.76767,0.00233081,0.00233081,0.00233081
65,5081.26,1.55418,1.44147,1.72373,0.76633,0.64308,0.72379,0.41009,1.60512,1.227,1.76078,0.00226629,0.00226629,0.00226629
66,5160.87,1.5575,1.45729,1.72524,0.76694,0.64439,0.72393,0.41306,1.60033,1.21387,1.75329,0.00220195,0.00220195,0.00220195
67,5239.22,1.54273,1.42104,1.70658,0.78083,0.64442,0.72787,0.41338,1.59671,1.21373,1.74976,0.00213782,0.00213782,0.00213782
