Model,mAP50,mAP50-95,Parameters,Latency_ms,FPS
YOLOv8n,0.7820589166216746,0.4649401997335823,3.005843,6.909788699954333,144.72222573269266
YOLOv9c,0.7920921729066035,0.4846024379624433,25.320019,36.27580317502179,27.56658467836665
YOLOv11,0.7789135161317012,0.45955515805265834,2.582347,9.349443425003301,106.9582385327549
YOLOv12n,0.7847794492791893,0.46309449288694643,2.556923,13.86098467512511,72.14494665697147
YOLOv8-FPN,0.70658896287498,0.3959928303485605,2.205779,6.418348174929633,155.80332707814864
